id,image_name,MAE_value,pixel_count,cropmark_median,cropmark_min,cropmark_max,cropmark_std,percentile_rank,min_max_rank,layer_valid_pixels,layer_mean,layer_median,layer_min,layer_p90,layer_p95,layer_max,layer_std,stats_source,cropmark,replant_2024,is_detected_with_natural_color,comments,derived_product_name,replant_2025
1,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,11.112324714660645,98,11.165749549865723,10.684301376342773,11.374646186828613,0.21246105432510376,0.6441915708853434,0.2601476003491659,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,0,0,0,,,0
2,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,10.99491024017334,306,11.00698184967041,10.719949722290039,11.292383193969727,0.17261342704296112,0.5748244616379915,0.24473887666316788,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,1,,,0
3,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,14.043304443359375,320,14.056405067443848,13.345848083496094,14.71501350402832,0.433636873960495,0.960294806656388,0.6447906093647473,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,1,,,0
4,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,10.690144538879395,440,10.646492958068848,10.140766143798828,11.276930809020996,0.2535218298435211,0.34099104206035763,0.20474337780569474,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,1,,,0
5,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,10.355331420898438,208,10.369424819946289,10.156580924987793,10.573694229125977,0.12212594598531723,0.11629027744737995,0.16080464841186834,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,1,,,0
6,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,10.686909675598145,591,10.667130470275879,10.064849853515625,11.399519920349121,0.33592739701271057,0.3383913402192944,0.20431885506537323,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,1,,,0
7,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,10.590296745300293,98,10.572564125061035,10.472551345825195,10.726218223571777,0.058940283954143524,0.2634590738107105,0.19163999282156066,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,1,,,1
8,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,10.44301700592041,92,10.45962142944336,10.277498245239258,10.507988929748535,0.0606706477701664,0.1637808965008998,0.17231194303417446,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,1,,,1
9,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,10.779703140258789,284,10.768896102905273,10.56289291381836,11.007308959960938,0.10608239471912384,0.41383533620370283,0.21649647509957853,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,0,,SR,0
10,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,10.596089363098145,70,10.591175079345703,10.482912063598633,10.743056297302246,0.08331087976694107,0.2677742126196452,0.19240017888427086,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,0,,NDSI,0
